"","Country","Confirmed","New Cases","Deaths","New Deaths","Recovered","New Recovered","Active","Mortality Rate","Recovery Rate"
"1","Afghanistan",933,27,30,0,112,13,791,0.03,0.12
"2","Albania",548,9,26,0,302,19,220,0.05,0.55
"3","Algeria",2534,116,367,3,894,48,1273,0.14,0.35
"4","Andorra",704,8,35,0,205,14,464,0.05,0.29
"5","Angola",24,5,2,0,6,1,16,0.08,0.25
"6","Antigua and Barbuda",23,0,3,0,3,0,17,0.13,0.13
"7","Argentina",2758,89,129,6,685,19,1944,0.05,0.25
"8","Armenia",1248,47,20,1,523,121,705,0.02,0.42
"9","Australia",6547,25,67,1,4124,316,2356,0.01,0.63
"10","Austria",14671,76,443,12,10214,510,4014,0.03,0.7
"11","Azerbaijan",1373,33,18,3,590,62,765,0.01,0.43
"12","Bahamas",55,1,9,0,10,4,36,0.16,0.18
"13","Bahrain",1773,33,7,0,755,30,1011,0,0.43
"14","Bangladesh",2144,306,84,9,66,8,1994,0.04,0.03
"15","Barbados",75,0,5,0,17,2,53,0.07,0.23
"16","Belarus",4779,0,45,3,342,0,4392,0.01,0.07
"17","Belgium",37183,1045,5453,290,8348,387,23382,0.15,0.22
"18","Benin",35,0,1,0,18,0,16,0.03,0.51
"19","Bhutan",5,0,0,0,2,0,3,0,0.4
"20","Bolivia",493,28,31,0,31,5,431,0.06,0.06
"21","Bosnia and Herzegovina",1268,54,47,1,338,18,883,0.04,0.27
"22","Brazil",36658,2976,2354,213,14026,0,20278,0.06,0.38
"23","Brunei",137,1,1,0,113,1,23,0.01,0.82
"24","Bulgaria",878,32,41,0,153,12,684,0.05,0.17
"25","Burkina Faso",565,8,36,1,321,27,208,0.06,0.57
"26","Cabo Verde",58,2,1,0,1,0,56,0.02,0.02
"27","Cambodia",122,0,0,0,103,5,19,0,0.84
"28","Cameroon",1017,21,22,0,177,13,818,0.02,0.17
"29","Canada",34355,1542,1399,45,10964,419,21992,0.04,0.32
"30","Central African Republic",12,0,0,0,4,0,8,0,0.33
"31","Chad",33,6,0,0,8,3,25,0,0.24
"32","Chile",9730,478,126,10,4035,414,5569,0.01,0.41
"33","China",83787,27,4636,0,77614,62,1537,0.06,0.93
"34","Colombia",3439,0,153,0,634,0,2652,0.04,0.18
"35","Congo (Brazzaville)",143,0,6,0,11,0,126,0.04,0.08
"36","Congo (Kinshasa)",307,20,25,2,26,1,256,0.08,0.08
"37","Costa Rica",655,6,4,0,97,9,554,0.01,0.15
"38","Cote d'Ivoire",801,113,8,2,239,46,554,0.01,0.3
"39","Croatia",1832,18,39,3,615,15,1178,0.02,0.34
"40","Diamond Princess",712,0,13,0,644,0,55,0.02,0.9
"41","Cuba",986,63,32,1,227,35,727,0.03,0.23
"42","Cyprus",761,11,12,0,79,2,670,0.02,0.1
"43","Czechia",6606,57,181,8,1227,53,5198,0.03,0.19
"44","Denmark",7437,169,346,10,4031,460,3060,0.05,0.54
"45","Djibouti",732,0,2,0,76,0,654,0,0.1
"46","Dominican Republic",4335,209,217,17,312,44,3806,0.05,0.07
"47","Ecuador",9022,572,456,35,1008,170,7558,0.05,0.11
"48","Egypt",3032,188,224,19,701,55,2107,0.07,0.23
"49","El Salvador",190,13,7,0,43,5,140,0.04,0.23
"50","Equatorial Guinea",79,0,0,0,4,0,75,0,0.05
"51","Eritrea",39,4,0,0,3,3,36,0,0.08
"52","Estonia",1512,53,38,0,162,17,1312,0.03,0.11
"53","Eswatini",22,6,1,0,8,0,13,0.05,0.36
"54","Ethiopia",105,9,3,0,16,1,86,0.03,0.15
"55","Fiji",17,0,0,0,0,0,17,0,0
"56","Finland",3681,192,90,8,1700,0,1891,0.02,0.46
"57","France",149149,19,19345,642,36587,1581,93217,0.13,0.25
"58","Gabon",108,0,1,0,7,0,100,0.01,0.06
"59","Gambia",9,0,1,0,2,0,6,0.11,0.22
"60","Georgia",388,18,4,1,86,7,298,0.01,0.22
"61","Germany",143342,1945,4459,107,85400,2286,53483,0.03,0.6
"62","Ghana",834,193,9,1,99,16,726,0.01,0.12
"63","Greece",2235,11,110,2,269,0,1856,0.05,0.12
"64","Guatemala",235,21,7,0,21,0,207,0.03,0.09
"65","Guinea",518,41,3,0,65,6,450,0.01,0.13
"66","Guyana",63,0,6,0,9,0,48,0.1,0.14
"67","Haiti",44,1,3,0,0,0,41,0.07,0
"68","Holy See",8,0,0,0,2,0,6,0,0.25
"69","Honduras",457,15,46,5,10,0,401,0.1,0.02
"70","Hungary",1834,71,172,16,231,24,1431,0.09,0.13
"71","Iceland",1760,6,9,0,1291,67,460,0.01,0.73
"72","India",15722,1370,521,35,2463,422,12738,0.03,0.16
