"Days","Confirmed","Deaths","Recovered"
1,99,1,2
2,287,8,6
3,493,16,3
4,684,14,13
5,809,26,9
6,2651,49,46
7,588,2,19
8,2068,38,17
9,1693,42,79
10,2111,46,62
11,4749,103,188
12,3094,64,151
13,4011,66,229
14,3743,72,272
15,3159,70,363
16,3597,85,524
17,2729,87,605
18,3030,100,628
19,2612,107,702
20,2040,100,737
21,419,5,467
22,15147,253,1145
23,6517,152,1763
24,2145,143,1337
25,2194,104,1470
26,2034,98,1718
27,1878,139,1769
28,503,115,1769
29,558,125,2056
30,622,4,713
31,1753,207,3996
32,386,11,508
33,603,160,1833
34,845,79,2678
35,982,62,2479
36,1358,44,2893
37,1366,58,3434
38,1899,69,3071
39,2358,55,2934
40,1937,89,2886
41,2534,75,2626
42,2280,94,2942
43,2766,94,2626
44,3915,112,2069
45,4046,98,2493
46,3974,244,2336
47,3769,186,1800
48,5030,274,1910
49,7255,353,2599
50,2477,105,1321
51,16853,684,1927
52,10896,415,2373
53,11353,621,3410
54,14120,686,2054
55,15528,779,2752
56,17719,828,2472
57,27749,1134,1663
58,29638,1432,2445
59,32299,1674,4272
60,32446,1678,6207
61,41278,1854,452
62,39810,2120,9649
63,49612,2556,5787
64,61938,2789,8363
65,63700,3228,8765
66,67402,3454,8500
67,59447,3273,9667
68,62249,3657,15484
69,75098,4526,13468
70,74988,5075,15143
71,80851,5803,17086
72,82372,5804,15533
73,80159,5817,20356
74,73627,4767,13860
75,71647,5191,16503
76,74961,7372,23539
77,83712,6410,28607
78,85474,7174,25314
79,92248,7013,22121
80,78124,5977,26014
81,99071,5589,19612
82,70117,5391,26933
83,71353,6504,25606
84,79863,8194,36758
85,96383,9625,31088
86,87753,10021,26236
87,77568,5674,23976
88,83343,5534,31584
89,71157,4942,21835
90,77035,6597,34081
91,74120,6443,29875
